Data,Hora,Cidade,Temperatura,Umidade,Pressao
2023-10-23,12:00:00,Sao Paulo,29,43,1013
Data,Hora,Cidade,Temperatura,Umidade,Pressao
2023-10-23,12:00:00,Sao Paulo,29,43,1013
